DATE,lat,long,easting,northing,FloodProb
2019-06-03,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-03,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-03,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.96208787,-2.188886754,387409.4901,340541.2893,Zero
2019-06-13,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-13,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-13,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-14,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-14,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-15,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-16,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-18,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-18,52.5625458,-1.69108963,421037.6621,296124.0109,Zero
2019-06-18,50.41610715,-3.745584275,276078.3133,58816.77227,Zero
2019-06-18,50.41610715,-3.745584275,276078.3133,58816.77227,Zero
2019-06-18,50.41610715,-3.745584275,276078.3133,58816.77227,Zero
2019-06-18,50.41610715,-3.745584275,276078.3133,58816.77227,Zero
2019-06-18,52.59672363,-1.506427713,433529.5745,299995.3777,Zero
2019-06-18,52.59672363,-1.506427713,433529.5745,299995.3777,Zero
2019-06-18,52.59672363,-1.506427713,433529.5745,299995.3777,Zero
2019-06-18,52.59672363,-1.506427713,433529.5745,299995.3777,Zero
2019-06-18,52.59672363,-1.506427713,433529.5745,299995.3777,Zero
2019-06-18,52.59672363,-1.506427713,433529.5745,299995.3777,Zero
2019-06-18,52.7341955,-0.936273563,471922.8668,315703.6809,High
2019-06-18,52.7341955,-0.936273563,471922.8668,315703.6809,High
2019-06-18,52.7341955,-0.936273563,471922.8668,315703.6809,High
